1,W,1
1,U,1
1,E,1
1,S,1
1,D,1
1,N,1
2,E,2
2,S,2
3,W,3
4,N,4
4,E,4
4,W,4
4,U,4
4,S,4
4,D,4
5,E,5
5,D,5
5,W,5
5,S,5
5,N,5
6,N,6
6,E,6
6,W,6
6,D,6
6,S,6
7,N,7
7,E,7
7,W,7
7,S,7
8,E,8
8,W,8
8,S,8
8,N,8
9,W,9
10,E,10
10,W,10
11,E,11
11,U,11
11,W,11
12,D,12
12,E,12
12,U,12
12,W,12
13,E,13
13,W,13
14,E,14
14,D,14
14,W,14
15,S,15
15,W,15
15,D,15
15,N,15
15,U,15
16,E,16
17,E,17
18,N,18
19,U,19
19,E,19
19,N,19
23,E,23
23,W,23
23,D,23
24,U,24
25,U,25
27,N,27
27,W,27
28,S,28
28,N,28
28,D,28
29,N,29
30,E,30
30,W,30
30,U,30
33,S,33
33,E,33
33,W,33
34,D,34
34,U,34
35,E,35
36,E,36
36,U,36
36,W,36
37,W,37
37,D,37
38,U,38
39,E,39
39,D,39
41,S,41
41,U,41
41,E,41
41,N,41
41,W,41
42,U,42
42,N,42
42,E,42
42,S,42
42,W,42
43,W,43
43,S,43
43,E,43
44,E,44
44,D,44
44,S,44
44,N,44
45,W,45
45,N,45
45,E,45
45,S,45
45,U,45
45,D,45
46,W,46
47,E,47
48,U,48
49,E,49
49,W,49
50,E,50
50,W,50
50,D,50
50,S,50
51,W,51
51,U,51
51,E,51
51,S,51
52,W,52
52,E,52
52,S,52
52,U,52
52,N,52
52,D,52
53,W,53
53,N,53
53,S,53
54,W,54
55,W,55
55,N,55
55,D,55
55,E,55
56,U,56
57,D,57
57,W,57
57,S,57
57,N,57
57,E,57
58,E,58
60,E,60
60,U,60
60,W,60
60,N,60
60,D,60
61,E,61
61,N,61
62,W,62
62,N,62
62,E,62
62,S,62
63,S,63
64,U,64
64,W,64
64,N,64
64,E,64
65,E,65
65,W,65
65,U,65
65,N,65
65,D,65
66,NE,66
66,W,66
66,E,66
67,E,67
67,W,67
67,D,67
68,S,68
68,U,68
68,N,68
69,D,69
69,S,69
69,N,69
70,N,70
70,D,70
70,S,70
71,SE,71
71,S,71
71,N,71
72,SW,72
72,N,72
72,SE,72
73,S,73
74,E,74
74,W,74
74,D,74
75,S,75
75,N,75
76,N,76
77,E,77
77,W,77
77,N,77
78,S,78
80,N,80
80,W,80
80,S,80
80,E,80
81,W,81
82,S,82
83,S,83
83,E,83
83,W,83
84,N,84
84,W,84
84,NW,84
85,E,85
86,U,86
87,U,87
87,D,87
88,D,88
88,E,88
88,W,88
91,N,91
91,D,91
92,S,92
92,E,92
92,N,92
93,S,93
94,S,94
95,S,95
95,W,95
96,W,96
97,SE,97
97,W,97
97,U,97
97,N,97
98,S,98
98,W,98
99,NW,99
99,E,99
100,W,100
100,NE,100
101,S,101
102,D,102
103,U,103
103,D,103
103,S,103
104,U,104
104,D,104
105,U,105
106,U,106
106,W,106
106,E,106
107,S,107
107,SW,107
107,NE,107
107,SE,107
107,U,107
107,NW,107
107,E,107
107,W,107
107,N,107
107,D,107
108,E,108
109,S,109
109,N,109
110,W,110
111,N,111
111,D,111
112,SW,112
112,N,112
112,E,112
112,NW,112
112,SE,112
112,NE,112
112,W,112
112,D,112
112,U,112
112,S,112
113,S,113
114,SE,114
115,SW,115
116,NE,116
117,SW,117
118,D,118
118,U,118
119,N,119
120,N,120
120,E,120
121,E,121
122,NE,122
123,W,123
123,E,123
124,W,124
124,NE,124
124,SE,124
124,D,124
125,S,125
125,N,125
125,E,125
126,S,126
127,W,127
128,N,128
128,U,128
128,S,128
128,D,128
129,W,129
129,U,129
129,E,129
130,W,130
131,W,131
131,SE,131
131,NW,131
131,SW,131
131,NE,131
131,U,131
131,D,131
131,N,131
131,S,131
131,E,131
132,NW,132
132,U,132
132,N,132
132,S,132
132,W,132
132,SW,132
132,NE,132
132,E,132
132,D,132
132,SE,132
133,U,133
133,D,133
133,W,133
133,NE,133
133,SW,133
133,E,133
133,N,133
133,NW,133
133,SE,133
133,S,133
134,NE,134
134,N,134
134,NW,134
134,SE,134
134,E,134
134,D,134
134,S,134
134,U,134
134,W,134
134,SW,134
135,N,135
135,SE,135
135,D,135
135,S,135
135,E,135
135,W,135
135,SW,135
135,NE,135
135,NW,135
135,U,135
136,E,136
136,W,136
136,U,136
136,SW,136
136,D,136
136,S,136
136,NW,136
136,SE,136
136,NE,136
136,N,136
137,SE,137
137,NE,137
137,S,137
137,D,137
137,U,137
137,NW,137
137,N,137
137,SW,137
137,E,137
137,W,137
138,D,138
138,E,138
138,NE,138
138,U,138
138,W,138
138,N,138
138,S,138
138,SE,138
138,SW,138
138,NW,138
139,SW,139
139,NW,139
139,E,139
139,W,139
139,N,139
139,D,139
139,SE,139
139,U,139
139,S,139
139,NE,139
140,N,140
